connections,requests,replies,test_duration_s,reply_time_ms,conn_time_min_ms,conn_time_avg_ms,conn_time_max_ms,conn_time_median_ms,conn_time_stddev_ms,reply_status_200_count,reply_status_500_count,errors_total
10,10,10,2.113,904.2,383.7,1014.4,1702.7,965.5,331.5,10,0,0
20,20,20,3.645,1568.6,481.2,1740.7,2790.7,1664.5,738.6,20,0,0
50,50,50,9.280,4330.0,181.5,4542.6,8338.8,4277.5,2409.8,50,0,0
100,100,100,18.392,8963.1,177.9,9186.3,17409.6,9279.5,5004.7,100,0,0
120,120,120,22.737,11208.9,646.4,11444.3,21745.1,11389.5,6245.7,120,0,0
150,150,150,27.769,13457.4,366.2,13790.6,26796.5,13651.5,7697.8,150,0,0
180,180,180,32.874,15197.8,800.6,16545.9,32038.7,16713.5,9199.1,180,0,0
200,200,200,36.511,16056.1,685.4,18313.6,35518.7,18272.5,10252.7,200,0,0
300,300,298,53.209,21777.8,708.9,26373.6,52608.0,25914.5,15020.9,298,0,2
400,400,387,71.678,25638.4,535.0,35583.0,70752.2,35381.5,20605.3,387,0,13
500,500,441,81.401,29286.6,857.6,40735.7,80946.5,40691.5,23379.2,441,0,59
600,600,516,95.296,35490.1,723.2,47957.2,94608.7,47896.5,27148.6,516,0,84
800,800,543,126.591,37681.3,757.9,50289.9,99836.1,50261.5,28654.8,543,0,257
1000,1000,609,131.067,41136.4,1018.4,56163.0,111731.1,55554.5,32176.8,609,0,391
