connections,requests,replies,test_duration_s,reply_time_ms,conn_time_min_ms,conn_time_avg_ms,conn_time_max_ms,conn_time_median_ms,conn_time_stddev_ms,reply_status_200_count,reply_status_500_count,errors_total
10,10,10,4.987,2859.5,980.6,2904.8,4186.0,2998.5,1026.7,10,0,0
20,20,20,17.572,5473.5,729.7,5613.0,16871.3,5380.5,3586.3,19,1,0
50,50,50,22.752,11439.5,655.0,11506.3,21810.2,11123.5,6249.6,50,0,0
100,100,100,45.109,22073.5,1390.1,22192.6,44133.1,21365.5,12938.1,99,1,0
120,120,120,53.310,26728.7,1310.6,26847.8,52331.9,26320.5,15033.1,120,0,0
150,150,150,65.871,32820.5,642.7,33422.5,64903.2,33264.5,18884.1,147,3,0
180,180,180,81.376,37903.1,816.2,40566.0,80397.3,40339.5,23059.7,178,2,0
200,200,200,88.614,41142.4,655.9,44127.8,87858.7,44333.5,25332.2,197,3,0
300,300,286,128.097,54706.2,1504.7,63850.7,127330.6,64373.5,36703.3,284,2,14
400,400,292,128.448,55223.5,1188.0,64775.0,127757.6,65212.5,36586.0,289,3,108
500,500,391,181.451,66052.1,1047.3,93134.5,180816.2,95007.5,52163.0,384,7,109
600,600,341,152.729,57833.1,1708.6,77669.5,151755.5,77859.5,43613.3,335,6,259
800,775,328,147.025,62128.2,978.0,74585.9,144791.2,75494.5,41687.2,314,14,472
1000,878,294,133.304,61568.2,1388.2,67413.7,132429.7,66854.5,38787.1,272,22,706
