connections,requests,replies,test_duration_s,reply_time_ms,conn_time_min_ms,conn_time_avg_ms,conn_time_max_ms,conn_time_median_ms,conn_time_stddev_ms,reply_status_200_count,reply_status_500_count,errors_total
10,10,10,2.005,772.3,462.7,987.8,1360.9,1071.5,318.4,10,0,0
20,20,20,3.864,1642.7,619.9,1946.3,3111.1,2050.5,830.5,20,0,0
50,50,50,9.537,4521.4,291.3,4780.9,8590.8,4832.5,2490.8,50,0,0
100,100,100,18.443,8911.2,784.7,9195.7,17491.1,9135.5,5035.9,100,0,0
120,120,120,22.134,10722.2,543.8,11005.0,21166.7,10854.5,6105.0,120,0,0
150,150,150,28.048,13615.3,474.5,13905.9,27062.0,13504.5,7810.3,150,0,0
180,180,180,33.914,15965.1,709.6,17062.7,33030.9,16882.5,9525.0,180,0,0
200,200,200,36.721,16557.3,598.1,18303.1,35732.9,17939.5,10306.1,200,0,0
300,300,300,53.660,19392.7,363.6,26999.4,52812.6,27075.5,15205.9,300,0,0
400,400,347,63.527,25600.2,747.4,31602.8,62650.3,31654.5,18088.9,347,0,53
500,500,435,77.793,27486.6,628.8,39094.9,76832.5,39232.5,22288.8,435,0,65
600,600,536,98.268,38421.0,505.8,49081.0,97682.0,49001.5,28168.5,536,0,64
800,800,544,127.039,36489.9,759.5,49243.6,97854.2,49412.5,28109.5,544,0,256
1000,1000,529,126.966,38616.8,505.4,50242.1,98179.3,50039.5,28147.8,529,0,471
