connections,requests,replies,test_duration_s,reply_time_ms,conn_time_min_ms,conn_time_avg_ms,conn_time_max_ms,conn_time_median_ms,conn_time_stddev_ms,reply_status_200_count,reply_status_500_count,errors_total
10,10,10,4.217,2163.5,713.0,2285.8,3415.7,2363.5,856.7,10,0,0
20,20,20,9.050,4844.7,903.2,5043.9,8148.9,4733.5,2236.6,20,0,0
50,50,50,19.223,9924.8,1145.9,10070.2,18282.4,9536.5,4914.7,49,1,0
100,100,100,37.761,19514.5,783.8,19654.3,36798.9,20901.5,10540.3,89,11,0
120,120,120,43.901,22017.8,569.2,22123.7,42917.7,23411.5,12389.9,112,8,0
150,150,150,56.509,28014.9,1482.7,28222.1,55537.2,28075.5,15743.4,141,9,0
180,180,180,67.786,32804.4,845.9,34005.9,66901.9,32991.5,19357.2,160,20,0
200,200,200,73.022,34248.6,1073.8,36721.6,72059.8,36708.5,20675.7,191,9,0
300,300,267,98.115,44977.5,2290.9,49679.1,97440.9,49668.5,27673.4,245,22,33
400,400,316,116.079,52557.6,1191.9,58712.3,115236.6,57923.5,33318.0,284,32,84
500,500,364,130.200,53972.0,1154.5,65739.8,129486.0,65528.5,37369.1,351,13,136
600,600,350,126.221,52121.9,1426.7,64343.1,125405.8,64570.5,36536.1,343,7,250
800,800,390,143.185,58291.0,764.8,70987.4,140984.7,71792.5,40837.2,351,39,410
1000,1000,408,149.860,55879.2,1419.5,75813.3,148956.8,76997.5,42920.8,382,26,592
