environment,connections,requests,replies,test_duration_s,reply_time_ms,conn_time_min_ms,conn_time_avg_ms,conn_time_max_ms,conn_time_median_ms,conn_time_stddev_ms,reply_status_200_count,reply_status_500_count,errors_total
kubernetes,10,10,10,2.143,938.4,299.1,1064.6,1561.5,1241.5,418.9,10,0,0
kubernetes,20,20,20,3.994,1742.6,214.7,1914.2,3134.3,1805.5,872.3,20,0,0
kubernetes,50,50,50,9.549,4460.0,204.3,4672.9,8586.0,4764.5,2495.2,50,0,0
kubernetes,100,100,100,19.744,9612.1,593.3,9824.9,18763.1,9872.5,5454.7,100,0,0
kubernetes,150,150,150,29.577,14423.1,394.6,14813.2,28587.3,15018.5,8314.1,150,0,0
kubernetes,200,200,200,39.754,17276.5,549.6,19556.8,38758.1,19344.5,11148.9,200,0,0
kubernetes,250,250,250,50.155,21233.2,805.8,25333.1,49538.1,25017.5,14109.1,250,0,0
kubernetes,300,300,300,57.923,20301.7,848.1,29069.0,57135.8,28988.5,16408.9,300,0,0
kubernetes,350,350,322,63.638,24919.0,390.3,31055.0,63154.5,30221.5,17771.5,322,0,28
kubernetes,400,400,340,68.268,27558.3,939.7,33235.4,67450.9,32592.5,19161.6,340,0,60
kubernetes,450,450,418,81.434,29264.2,709.0,40726.2,80834.8,40843.5,23290.6,418,0,32
kubernetes,500,500,440,87.589,32059.4,1092.8,43717.8,87022.7,43727.5,25151.8,440,0,60
kubernetes,600,600,483,96.382,36571.5,853.2,48077.0,95845.8,47501.5,27641.9,483,0,117
kubernetes,700,700,510,127.552,37136.8,732.9,49727.2,98388.9,50073.5,28252.9,510,0,190
kubernetes,800,800,522,126.971,37528.6,781.8,50790.8,101831.3,50767.5,29354.8,522,0,278
kubernetes,900,900,495,126.973,38567.9,869.3,49320.3,97817.8,49194.5,28226.4,495,0,405
kubernetes,1000,904,561,131.069,44782.1,1166.6,56936.4,112998.6,56552.5,32574.0,561,0,439
native,10,10,10,1.947,720.5,257.1,875.3,1227.0,952.5,329.5,10,0,0
native,20,20,20,3.527,1372.0,149.2,1634.0,2826.0,1717.5,757.8,20,0,0
native,50,50,50,9.212,4364.6,732.6,4640.6,8270.5,4624.5,2335.2,50,0,0
native,100,100,100,18.252,8809.8,506.0,9086.4,17265.2,8901.5,4964.0,100,0,0
native,150,150,150,27.088,13234.7,550.7,13514.0,26106.4,13302.5,7611.3,150,0,0
native,200,200,200,36.267,16583.0,540.1,18072.7,35426.3,17948.5,10201.6,200,0,0
native,250,250,250,45.945,20504.9,460.5,22954.4,45188.4,22508.5,13132.3,250,0,0
native,300,300,300,53.933,22029.0,178.7,26721.4,53051.5,26486.5,15325.3,300,0,0
native,350,350,350,64.368,22899.8,511.5,32151.3,63510.9,32325.5,18078.4,350,0,0
native,400,400,363,70.469,28873.7,765.1,35326.4,69753.3,35313.5,20243.3,363,0,37
native,450,450,389,74.533,28924.7,916.3,37284.2,73712.4,37419.5,21248.8,389,0,61
native,500,500,441,80.911,29218.5,917.2,40842.1,79968.6,40905.5,22935.0,441,0,59
native,600,600,510,91.358,33656.7,768.5,45681.8,90877.0,45266.5,26059.0,510,0,90
native,700,700,539,127.207,36504.5,682.5,48635.2,97074.3,48384.5,28021.0,539,0,161
native,800,800,549,126.974,37557.7,902.3,49097.1,97296.7,49085.5,27961.0,549,0,251
native,900,900,645,129.712,41256.8,987.9,58608.0,129140.6,57462.5,34729.6,645,0,255
native,1000,945,783,234.810,58937.7,613.2,71990.0,147348.8,69933.5,42525.3,783,0,217
swarm,10,10,10,1.966,716.9,546.2,948.0,1159.1,999.5,187.4,10,0,0
swarm,20,20,20,3.576,1409.6,449.5,1660.0,2707.3,1566.5,729.3,20,0,0
swarm,50,50,50,9.193,4296.1,192.0,4506.9,8221.7,4492.5,2368.3,50,0,0
swarm,100,100,100,18.350,8776.9,351.2,9048.4,17380.4,9162.5,5065.7,100,0,0
swarm,150,150,150,27.491,13208.5,349.1,13661.9,26497.9,13668.5,7675.5,150,0,0
swarm,200,200,200,37.067,15949.5,398.8,18566.2,36071.2,18477.5,10389.5,200,0,0
swarm,250,250,250,45.119,19701.9,567.2,22410.0,44463.0,22305.5,12728.6,250,0,0
swarm,300,300,299,54.559,22739.7,362.0,27308.4,53915.0,27226.5,15546.9,299,0,1
swarm,350,350,323,58.373,22708.9,385.1,28983.4,57649.5,28970.5,16524.6,323,0,27
swarm,400,400,366,66.630,23689.6,357.5,33243.0,66196.8,33162.5,19136.5,366,0,34
swarm,450,450,415,74.651,25786.7,406.1,37195.2,73901.4,37376.5,21234.9,415,0,35
swarm,500,500,434,77.833,26045.8,587.0,38847.6,77240.3,38933.5,22342.1,434,0,66
swarm,600,600,521,93.164,24274.5,798.7,46164.9,92173.3,45924.5,26655.6,521,0,79
swarm,700,700,521,120.029,39782.4,924.2,47294.1,93676.7,47202.5,27008.3,521,0,179
swarm,800,800,623,126.964,35285.9,830.1,56929.9,112290.6,56574.5,32344.6,623,0,177
swarm,900,900,549,131.066,38907.2,935.2,48587.2,96828.2,48620.5,27870.9,549,0,351
swarm,1000,1000,731,147.450,48068.9,860.2,66568.7,133160.4,66774.5,38433.4,731,0,269
