environment,test_type,table_size,queries_read,queries_write,queries_other,queries_total,transactions,latency_min_values,latency_avg_values,latency_max_values,latency_95_percent_values,latency_sum_values
kubernetes,read_write,100,23254,6011,3607,32872,1534,1397.82,2561.71,9483.03,5033.35,3929660.87
kubernetes,read_write,1000,24878,6948,3618,35444,1740,1273.24,2250.67,7274.66,3982.86,3916166.12
kubernetes,read_write,10000,23086,6578,3304,32968,1643,1224.08,2361.17,7738.09,3706.08,3879406.77
kubernetes,read_write,100000,23338,6668,3334,33340,1667,1574.86,2342.41,4924.68,3639.94,3904792.65
kubernetes,read_write,1000000,39914,2968,14136,57018,2850,847.79,1358.52,3654.14,2238.47,3871786.67
kubernetes,read_only,100,50094,0,0,50094,50094,8.55,76.72,534.24,179.94,3843029.15
kubernetes,read_only,1000,44463,0,0,44463,44463,8.66,86.40,1091.58,176.73,3841633.86
kubernetes,read_only,10000,55111,0,0,55111,55111,8.68,69.71,758.55,132.49,3841772.56
kubernetes,read_only,100000,51742,0,0,51742,51742,7.47,74.81,2285.61,123.28,3870983.17
kubernetes,read_only,1000000,53264,0,0,53264,53264,8.35,72.12,1184.09,118.92,3841143.65
native,read_write,100,28182,7278,4398,39858,1867,983.35,2080.11,12350.86,4855.31,3883570.80
native,read_write,1000,25704,7182,3722,36608,1792,1182.49,2249.63,8381.83,4280.32,4031328.23
native,read_write,10000,28546,8134,4084,40764,2031,1176.83,1937.66,6216.59,3386.99,3935387.84
native,read_write,100000,29890,8539,4271,42700,2135,1259.14,1829.94,3374.08,2539.17,3906920.70
native,read_write,1000000,26460,1910,9428,37798,1889,765.32,2083.07,10893.45,6247.39,3934921.55
native,read_only,100,14678,0,0,14678,14678,8.55,262.05,2113.39,484.44,3846378.68
native,read_only,1000,47816,0,0,47816,47816,3.42,80.38,3376.28,219.36,3843238.56
native,read_only,10000,42346,0,0,42346,42346,5.71,90.74,1646.82,215.44,3842547.01
native,read_only,100000,48465,0,0,48465,48465,5.41,79.27,2018.75,173.58,3842030.17
native,read_only,1000000,53286,0,0,53286,53286,5.51,72.10,774.24,161.51,3841987.80
swarm,read_write,100,19684,5130,3035,27849,1308,1642.90,2988.09,12105.73,5312.73,3908427.54
swarm,read_write,1000,20048,5616,2931,28595,1412,1645.47,2768.52,8487.41,4517.90,3909150.58
swarm,read_write,10000,19628,5592,2808,28028,1396,1767.52,2803.33,6656.46,4280.32,3913455.26
swarm,read_write,100000,19922,5686,2846,28454,1420,1894.70,2789.04,5237.65,3706.08,3960439.44
swarm,read_write,1000000,33992,2445,12123,48560,2428,1091.34,1599.30,3096.82,2082.91,3883103.63
swarm,read_only,100,51905,0,0,51905,51905,7.57,74.02,573.27,127.81,3841984.78
swarm,read_only,1000,54084,0,0,54084,54084,11.21,71.05,452.36,137.35,3842481.16
swarm,read_only,10000,52479,0,0,52479,52479,9.84,73.22,494.29,132.49,3842595.55
swarm,read_only,100000,53092,0,0,53092,53092,11.97,72.35,992.14,123.28,3840988.09
swarm,read_only,1000000,51405,0,0,51405,51405,7.90,74.74,533.16,127.81,3841942.08
