environment,connections,requests,replies,test_duration_s,reply_time_ms,conn_time_min_ms,conn_time_avg_ms,conn_time_max_ms,conn_time_median_ms,conn_time_stddev_ms,reply_status_200_count,reply_status_500_count,errors_total
kubernetes,10,10,10,4.535,2193.1,1095.5,2490.4,3634.7,2532.5,877.3,10,0,0
kubernetes,20,20,20,9.209,4636.9,1553.2,5146.6,8257.7,4639.5,2073.8,20,0,0
kubernetes,50,50,50,22.112,11024.8,804.9,11587.8,21148.0,11288.5,5986.9,50,0,0
kubernetes,100,100,100,44.155,22048.7,1746.4,22538.0,43164.4,22314.5,12489.7,100,0,0
kubernetes,150,150,150,65.465,32099.8,1230.5,33090.7,64530.7,33013.5,18511.4,150,0,0
kubernetes,200,200,200,87.981,41703.5,1615.8,44322.8,87084.9,44323.5,24955.1,200,0,0
kubernetes,250,250,250,110.748,43864.3,1659.6,55818.0,109755.6,55725.5,31621.2,250,0,0
kubernetes,300,300,277,240.828,53732.5,1703.3,61881.6,125228.2,62053.5,35179.3,277,0,23
kubernetes,350,350,318,165.821,52959.8,1152.8,70968.8,141544.9,70153.5,40966.1,318,0,32
kubernetes,400,400,266,116.183,50632.1,2026.5,58546.2,115500.1,58493.5,33136.3,266,0,134
kubernetes,450,450,314,182.811,56646.1,1532.3,69041.6,136926.6,68713.5,39325.7,314,0,136
kubernetes,500,500,381,335.841,62472.2,1832.1,86345.5,197400.7,83937.5,51521.8,381,0,119
native,10,10,10,1.551,364.7,479.3,657.6,810.1,650.5,94.3,10,0,0
native,20,20,20,3.017,1091.0,462.4,1392.8,2166.7,1351.5,556.8,20,0,0
native,50,50,50,7.354,3237.9,590.4,3586.3,6393.0,3412.5,1761.6,50,0,0
native,100,100,100,14.892,7235.6,832.8,7674.7,13901.1,7809.5,3894.6,100,0,0
native,150,150,150,21.878,10441.5,737.6,10784.9,20884.4,10694.5,5902.0,150,0,0
native,200,200,200,28.788,12881.5,874.4,14404.1,27982.8,14375.5,7988.3,200,0,0
native,250,250,250,36.860,15025.9,629.0,18390.6,35866.7,18380.5,10406.7,250,0,0
native,300,300,300,43.297,17025.6,718.8,21645.0,42402.7,21295.5,12143.0,300,0,0
native,350,350,347,51.423,18391.2,2245.7,26580.6,50845.5,26495.5,14044.8,347,0,3
native,400,400,350,58.679,21059.1,838.6,26945.6,57708.2,26439.5,15584.1,350,0,50
native,450,450,346,99.026,43432.1,6866.4,47279.8,83677.6,50925.5,22708.6,336,10,104
native,500,500,354,157.691,62438.3,13832.2,68533.9,128605.6,67961.5,35785.6,323,31,146
swarm,10,10,10,4.497,2175.6,723.1,2552.5,3596.2,2360.5,856.8,10,0,0
swarm,20,20,20,9.122,4452.7,1148.0,4913.0,8207.9,4423.5,2287.3,20,0,0
swarm,50,50,50,22.180,10926.5,1200.4,11419.8,21219.1,11222.5,6015.9,50,0,0
swarm,100,100,100,44.716,22292.3,882.6,22821.0,43725.1,23019.5,12602.7,100,0,0
swarm,150,150,150,66.228,32530.4,1746.6,33603.6,65280.6,32800.5,18717.3,150,0,0
swarm,200,200,200,89.518,39935.9,812.1,45134.2,88627.1,44556.5,25620.0,200,0,0
swarm,250,250,241,108.562,48615.2,1875.3,54964.0,107709.2,55394.5,30873.2,241,0,9
swarm,300,300,280,125.373,53778.6,2247.8,62843.9,124868.7,62096.5,35924.3,280,0,20
swarm,350,350,324,144.404,52440.9,1299.5,72259.3,143703.5,71270.5,41776.6,324,0,26
swarm,400,400,335,153.929,55653.0,1370.2,79099.3,153323.4,79167.5,43898.1,335,0,65
swarm,450,450,339,156.187,54378.3,1624.4,78080.5,155562.0,77504.5,44221.9,339,0,111
swarm,500,500,346,154.263,58448.6,2303.3,77367.1,153328.0,77399.5,44106.0,346,0,154
