environment,connections,requests,replies,test_duration_s,reply_time_ms,conn_time_min_ms,conn_time_avg_ms,conn_time_max_ms,conn_time_median_ms,conn_time_stddev_ms,reply_status_200_count,reply_status_500_count,errors_total
kubernetes,10,10,10,13.881,8463.2,2040.9,8709.1,13180.3,7646.5,3552.3,10,0,0
kubernetes,20,20,20,25.614,14566.5,2045.0,14818.8,24663.4,14874.5,6969.6,20,0,0
kubernetes,50,50,50,64.691,33789.2,2000.7,34005.3,63710.1,31109.5,18497.5,50,0,0
kubernetes,100,100,100,127.695,65632.3,5973.8,65903.6,126724.6,66514.5,36231.2,100,0,0
kubernetes,150,150,150,192.957,95824.1,3572.9,96823.8,192029.6,94356.5,54809.1,149,1,0
kubernetes,200,200,195,249.539,119324.1,2974.7,126124.0,248713.0,0.0,72206.6,195,0,5
kubernetes,250,250,184,243.620,122018.8,7580.1,123801.1,242712.0,0.0,70101.7,184,0,66
kubernetes,300,223,202,262.570,124714.6,3728.0,132156.4,261693.8,0.0,75625.7,201,1,98
kubernetes,350,260,194,248.626,119385.6,3353.6,126018.6,248037.3,0.0,71677.3,192,2,156
kubernetes,400,349,211,264.160,122749.1,4395.4,133146.9,263335.1,0.0,75723.4,211,0,189
kubernetes,450,283,188,241.223,115876.3,3691.8,121840.8,240849.2,0.0,69252.7,184,4,262
kubernetes,500,303,191,245.897,122728.5,2358.3,126616.4,245115.8,0.0,71199.8,190,1,309
native,10,10,10,3.191,1558.9,540.2,1660.1,2483.2,1547.5,642.1,10,0,0
native,20,20,20,6.450,3204.8,562.3,3295.2,5498.9,3333.5,1524.1,20,0,0
native,50,50,50,16.171,8030.3,673.7,8158.3,15190.3,7603.5,4269.9,50,0,0
native,100,100,100,34.079,17464.9,745.0,17604.5,33118.5,17843.5,9613.7,100,0,0
native,150,150,150,51.326,25998.3,1896.2,26207.0,50339.4,25775.5,14470.2,150,0,0
native,200,200,200,68.230,32447.8,718.4,34229.7,67424.3,34017.5,19392.5,200,0,0
native,250,250,250,83.963,38706.8,1061.4,42302.1,83221.9,42193.5,24335.2,250,0,0
native,300,300,300,100.029,42349.9,951.9,50651.5,99295.4,50781.5,28470.3,297,3,0
native,350,350,341,110.332,41725.6,766.6,55400.9,109334.4,54892.5,31305.8,341,0,9
native,400,400,322,106.614,43867.2,1932.5,53635.8,105666.2,53881.5,30500.8,322,0,78
native,450,450,371,122.323,45503.7,1092.1,61457.8,121399.9,61371.5,34849.3,371,0,79
native,500,500,381,126.652,52290.0,825.9,63326.4,125807.0,63464.5,36352.7,380,1,119
swarm,10,10,10,14.545,9018.8,2280.8,9272.1,13743.9,8197.5,3398.5,10,0,0
swarm,20,20,20,26.902,15597.6,2787.1,15975.6,26001.2,14726.5,6815.6,20,0,0
swarm,50,50,50,67.013,35849.5,2478.9,36136.0,66052.5,36921.5,18643.6,50,0,0
swarm,100,100,100,130.253,66100.8,5346.0,66467.3,129266.3,65689.5,37305.9,100,0,0
swarm,150,150,150,190.673,97095.7,3369.2,98110.9,189719.0,98663.5,54890.8,150,0,0
swarm,200,200,191,244.536,121069.4,2284.2,125025.5,243646.9,0.0,69945.1,191,0,9
swarm,250,250,186,241.808,115673.5,3708.0,121216.1,241135.4,0.0,69263.3,186,0,64
swarm,300,275,196,255.352,130289.4,5190.5,131040.1,254851.2,0.0,73616.2,196,0,104
swarm,350,350,231,297.153,130160.6,2184.4,152071.4,296543.8,0.0,85763.2,231,0,119
swarm,400,297,185,244.974,119809.4,2145.2,124595.3,243997.9,0.0,70656.4,185,0,215
swarm,450,450,234,302.665,138704.4,2747.1,153834.2,302104.0,0.0,86428.5,234,0,216
swarm,500,500,223,292.562,133445.4,2229.7,147760.7,289597.2,0.0,83279.6,223,0,277
