environment,test_type,table_size,queries_read,queries_write,queries_other,queries_total,transactions,latency_min_values,latency_avg_values,latency_max_values,latency_95_percent_values,latency_sum_values
kubernetes,read_write,100,176022,44906,27552,248480,11470,19.71,339.05,7770.86,1352.03,3888852.01
kubernetes,read_write,1000,186620,51471,27086,265177,12845,30.52,322.40,15681.72,1089.30,4141232.87
kubernetes,read_write,10000,192374,54854,27528,274756,13711,64.33,280.67,1703.69,657.93,3848213.85
kubernetes,read_write,100000,191786,54785,27403,273974,13696,41.22,280.97,1609.42,669.89,3848170.67
kubernetes,read_write,1000000,611786,52311,209877,873974,43696,50.52,87.94,340.62,110.66,3842641.70
kubernetes,read_only,100,978469,0,0,978469,978469,0.64,3.92,217.10,7.70,3839004.22
kubernetes,read_only,1000,968922,0,0,968922,968922,0.98,3.96,228.34,7.70,3838894.42
kubernetes,read_only,10000,966511,0,0,966511,966511,0.81,3.97,215.31,7.84,3838994.89
kubernetes,read_only,100000,949963,0,0,949963,949963,0.93,4.04,242.98,8.28,3839322.30
kubernetes,read_only,1000000,890353,0,0,890353,890353,0.62,4.31,229.76,8.58,3839694.32
native,read_write,100,185906,47622,28781,262309,12118,10.89,323.19,9085.55,1376.60,3916415.70
native,read_write,1000,163016,45269,23604,231889,11307,10.78,351.79,30872.36,539.71,3977738.25
native,read_write,10000,221718,63212,31747,316677,15806,88.47,243.30,1490.32,267.41,3845623.99
native,read_write,100000,220066,62868,31444,314378,15718,155.15,244.80,489.84,272.27,3847771.64
native,read_write,1000000,484344,40087,167489,691920,34596,51.22,111.11,308.66,150.29,3843813.10
native,read_only,100,728864,0,0,728864,728864,0.33,5.27,129.00,11.24,3839068.29
native,read_only,1000,724050,0,0,724050,724050,0.32,5.30,148.06,11.65,3838907.36
native,read_only,10000,716587,0,0,716587,716587,0.34,5.36,211.27,11.87,3839692.78
native,read_only,100000,716798,0,0,716798,716798,0.32,5.36,294.43,11.65,3839024.41
native,read_only,1000000,716777,0,0,716777,716777,0.31,5.36,1067.46,11.65,3838936.96
swarm,read_write,100,179788,45886,28250,253924,11711,24.24,331.21,7979.99,1327.91,3878797.31
swarm,read_write,1000,183512,50470,26668,260650,12592,28.57,309.93,11353.15,1129.24,3902670.09
swarm,read_write,10000,193130,55045,27654,275829,13761,49.75,279.55,1575.04,657.93,3846831.39
swarm,read_write,100000,191702,54763,27395,273860,13693,67.81,280.88,1465.97,657.93,3846113.58
swarm,read_write,1000000,502404,41707,173605,717716,35884,48.49,107.10,305.12,139.85,3843203.65
swarm,read_only,100,932966,0,0,932966,932966,0.87,4.11,219.25,9.22,3838904.86
swarm,read_only,1000,968089,0,0,968089,968089,0.66,3.97,219.19,8.90,3839340.81
swarm,read_only,10000,962837,0,0,962837,962837,0.89,3.99,215.21,8.74,3839335.45
swarm,read_only,100000,964170,0,0,964170,964170,0.73,3.98,215.80,8.90,3839127.52
swarm,read_only,1000000,971366,0,0,971366,971366,0.87,3.95,217.55,8.74,3839558.01
