environment,connections,requests,replies,test_duration_s,reply_time_ms,conn_time_min_ms,conn_time_avg_ms,conn_time_max_ms,conn_time_median_ms,conn_time_stddev_ms,reply_status_200_count,reply_status_500_count,errors_total
kubernetes,10,10,10,1.954,689.9,352.8,879.1,1175.0,886.5,269.5,10,0,0
kubernetes,20,20,20,3.486,1355.1,227.1,1534.0,2559.0,1507.5,726.0,20,0,0
kubernetes,50,50,50,8.963,4058.0,221.0,4253.5,8001.9,4258.5,2310.2,50,0,0
kubernetes,100,100,100,17.897,8585.0,426.1,8787.9,16913.2,8743.5,4864.4,100,0,0
kubernetes,150,150,150,26.969,12953.2,380.1,13288.2,25982.0,13151.5,7538.1,150,0,0
kubernetes,200,200,200,35.799,15889.9,368.8,17678.5,34988.0,17523.5,10054.3,200,0,0
kubernetes,250,250,250,44.885,18430.2,413.9,22295.1,43928.1,21960.5,12654.3,250,0,0
kubernetes,300,300,300,54.691,21975.2,546.9,27307.4,54124.2,27201.5,15573.7,300,0,0
kubernetes,350,350,326,58.369,23109.7,382.4,28995.0,57391.5,28502.5,16665.7,326,0,24
kubernetes,400,400,359,68.067,28384.6,636.8,32880.9,67456.0,32383.5,19007.8,359,0,41
kubernetes,450,450,415,74.044,24785.5,436.0,36841.9,73545.7,36931.5,21088.7,415,0,35
kubernetes,500,500,430,82.548,34233.1,385.9,40280.9,82207.2,39180.5,23729.6,430,0,70
kubernetes,600,600,524,96.103,31542.1,361.9,47788.4,95663.9,47494.5,27660.1,524,0,76
kubernetes,700,700,538,131.771,36385.8,571.3,50132.8,100287.6,49742.5,28647.5,538,0,162
kubernetes,800,800,521,126.976,38626.9,730.9,50907.9,101318.0,49627.5,29651.6,521,0,279
kubernetes,900,900,645,159.751,41674.2,402.7,60850.9,121058.8,61329.5,34620.3,645,0,255
kubernetes,1000,898,566,131.061,37202.3,842.0,50510.7,98179.8,51244.5,28193.2,566,0,434
native,10,10,10,2.393,1097.4,715.5,1309.6,1973.3,1101.5,440.5,10,0,0
native,20,20,20,3.856,1545.7,385.9,1762.2,3032.9,1802.5,846.0,20,0,0
native,50,50,50,9.061,4319.9,235.6,4504.9,8099.7,4473.5,2337.5,50,0,0
native,100,100,100,18.646,8930.1,467.2,9162.6,17664.7,8993.5,5030.0,100,0,0
native,150,150,150,28.176,13832.1,256.3,14069.3,27195.2,14106.5,7820.6,150,0,0
native,200,200,200,37.677,16954.3,306.9,18615.1,36845.7,18514.5,10551.6,200,0,0
native,250,250,250,46.885,19179.2,289.8,23399.1,46037.4,23187.5,13373.7,250,0,0
native,300,300,300,56.885,23333.0,232.7,28200.7,56178.4,27912.5,16166.7,300,0,0
native,350,350,350,64.887,21215.4,171.2,32252.8,64372.2,31490.5,18604.0,350,0,0
native,400,400,400,76.655,20869.5,366.3,37189.5,75782.3,36763.5,21625.6,400,0,0
native,450,450,406,75.969,28969.6,745.8,38081.2,75275.1,37956.5,21676.2,406,0,44
native,500,500,425,79.113,33252.4,482.4,39624.1,78496.4,39926.5,22596.5,425,0,75
native,600,600,504,93.853,37205.4,545.8,46849.9,93334.3,46671.5,26837.9,504,0,96
native,700,651,571,130.684,32474.9,220.2,53378.1,106785.5,53574.5,30888.3,571,0,129
native,800,800,631,122.893,28465.6,585.3,58658.0,116981.4,58375.5,33815.0,631,0,169
native,900,900,710,133.485,38422.9,582.4,66574.3,133237.7,66000.5,38410.8,710,0,190
native,1000,802,607,130.689,33732.9,383.8,56265.0,111768.6,56498.5,32213.5,607,0,393
swarm,10,10,10,1.969,706.4,276.6,869.7,1257.8,913.5,308.7,10,0,0
swarm,20,20,20,3.817,1552.8,269.4,1742.5,2919.1,1726.5,767.5,20,0,0
swarm,50,50,50,9.211,4233.7,276.4,4443.9,8230.0,4507.5,2353.8,50,0,0
swarm,100,100,100,18.430,8903.6,364.5,9119.1,17445.6,9012.5,5069.3,100,0,0
swarm,150,150,150,28.123,13561.3,602.1,13930.0,27136.5,13741.5,7730.4,150,0,0
swarm,200,200,200,37.679,16745.4,815.1,18577.7,36863.3,18184.5,10649.0,200,0,0
swarm,250,250,250,47.580,19503.3,510.0,23637.8,46636.1,23737.5,13413.4,250,0,0
swarm,300,300,289,53.505,21876.9,597.7,26466.7,52958.3,25946.5,15206.0,289,0,11
swarm,350,350,348,66.139,22757.9,396.7,32312.4,65146.8,31945.5,18523.8,348,0,2
swarm,400,400,353,66.415,25250.7,661.7,33193.5,65919.2,33143.5,18913.2,353,0,47
swarm,450,450,390,72.541,25041.0,408.6,36201.8,71682.8,36166.5,20635.9,390,0,60
swarm,500,500,414,77.913,31112.1,551.4,39178.1,77151.1,39030.5,22374.9,414,0,86
swarm,600,600,519,125.070,37370.1,511.3,48812.7,124578.2,48497.5,29173.6,519,0,81
swarm,700,700,562,120.205,40514.0,438.7,58569.9,119903.4,58808.5,33310.8,562,0,138
swarm,800,800,594,127.478,37389.2,870.4,59974.1,127000.4,59314.5,34509.2,594,0,206
swarm,900,734,502,130.507,42761.6,886.1,50706.2,100536.6,50892.5,29068.8,502,0,398
swarm,1000,1000,592,151.552,43694.1,474.0,59430.3,117401.0,59547.5,33786.2,592,0,408
