environment,connections,requests,replies,test_duration_s,reply_time_ms,conn_time_min_ms,conn_time_avg_ms,conn_time_max_ms,conn_time_median_ms,conn_time_stddev_ms,reply_status_200_count,reply_status_500_count,errors_total
kubernetes,10,10,10,5.473,3595.9,2828.8,3660.8,4770.4,3229.5,764.4,10,0,0
kubernetes,20,20,20,7.506,3799.3,618.9,3880.0,6594.7,3913.5,1838.1,20,0,0
kubernetes,50,50,50,19.148,9953.9,578.2,10055.6,18186.0,10480.5,5141.0,50,0,0
kubernetes,100,100,100,37.625,19093.6,873.0,19202.5,36643.7,19492.5,10475.2,100,0,0
kubernetes,150,150,150,57.461,28289.4,648.8,28818.1,56506.8,28664.5,16027.5,148,2,0
kubernetes,200,200,200,76.540,34695.7,587.6,38901.0,75663.8,39067.5,21621.8,199,1,0
kubernetes,250,250,246,92.232,42262.6,822.9,45971.1,91318.9,45759.5,26368.2,243,3,4
kubernetes,300,300,300,114.845,44013.6,903.3,58557.6,113866.8,59020.5,32819.5,299,1,0
kubernetes,350,350,344,130.620,44110.9,665.8,66417.2,129964.9,66000.5,37471.7,337,7,6
kubernetes,400,400,326,125.889,49228.5,1434.7,62984.8,125120.7,63171.5,35484.7,321,5,74
kubernetes,450,450,335,130.558,53191.3,751.0,65005.8,129744.2,64219.5,37580.4,328,7,115
kubernetes,500,500,355,140.007,58114.6,1058.4,69560.8,139326.0,69499.5,39281.1,347,8,145
kubernetes,600,600,409,159.216,58049.7,613.3,80685.6,158637.1,80653.5,45369.4,398,11,191
kubernetes,700,700,422,163.713,55907.4,1143.3,82832.8,162744.6,82402.5,46614.2,412,10,278
kubernetes,800,800,494,250.679,68107.5,855.6,96937.9,190536.9,96969.5,55160.1,487,7,306
kubernetes,900,900,361,159.740,62704.2,721.3,75266.9,145380.9,75315.5,41905.3,343,18,539
kubernetes,1000,985,350,143.376,58801.7,687.6,69987.7,138295.0,69816.5,40357.7,338,12,650
native,10,10,10,4.902,3259.0,2694.3,3345.7,4001.1,3096.5,514.2,10,0,0
native,20,20,20,5.899,2948.8,670.2,3041.2,4997.7,2989.5,1254.3,20,0,0
native,50,50,50,13.976,6910.2,531.2,6986.7,13014.6,6749.5,3663.3,50,0,0
native,100,100,100,27.496,13771.6,566.2,13843.3,26514.2,13660.5,7553.3,100,0,0
native,150,150,150,42.562,20686.0,734.5,20959.1,41615.1,20859.5,11955.3,150,0,0
native,200,200,200,57.117,25767.0,873.4,28839.3,56218.2,28588.5,15990.3,200,0,0
native,250,250,250,72.357,29050.9,933.6,36175.5,71458.9,35989.5,20699.3,250,0,0
native,300,300,300,87.150,32367.1,915.2,43881.7,86156.4,43604.5,24942.4,300,0,0
native,350,350,350,102.732,32727.8,1108.7,51797.7,102117.3,51580.5,29133.2,350,0,0
native,400,400,330,97.656,38409.9,830.4,48722.9,97005.0,48491.5,27697.7,330,0,70
native,450,422,422,130.850,35196.3,778.9,63199.0,123034.2,62659.5,34838.5,422,0,28
native,500,500,413,122.879,35947.5,730.1,59889.8,118522.3,59608.5,34166.9,413,0,87
native,600,599,537,175.944,47697.3,752.2,78878.0,157253.7,78622.5,45241.7,537,0,63
native,700,564,444,131.253,42320.8,709.7,64666.5,127165.4,64256.5,36469.2,444,0,256
native,800,742,544,176.129,46831.0,814.8,79543.1,158681.4,79156.5,45893.5,544,0,256
native,900,892,548,176.123,51616.3,552.5,79601.2,158122.9,79831.5,45611.0,548,0,352
native,1000,578,425,141.311,41957.6,791.2,62272.7,123446.5,61551.5,35698.2,425,0,575
swarm,10,10,10,5.250,3352.1,2692.0,3453.1,4549.2,3092.5,728.2,10,0,0
swarm,20,20,20,7.306,3646.1,598.1,3773.6,6452.5,4194.5,1891.0,20,0,0
swarm,50,50,50,18.557,9333.4,603.2,9458.7,17576.5,8687.5,5075.8,50,0,0
swarm,100,100,100,38.217,18745.7,592.1,18868.5,37236.4,18405.5,10676.3,100,0,0
swarm,150,150,150,57.883,28261.5,638.1,28911.9,56941.9,28048.5,16530.3,150,0,0
swarm,200,200,200,76.980,35609.5,772.4,38922.8,76193.7,38148.5,21832.6,200,0,0
swarm,250,250,250,97.345,39391.8,819.4,49060.0,96376.4,49107.5,27399.1,250,0,0
swarm,300,300,294,116.321,44783.4,1277.0,58280.0,115474.5,58383.5,33497.0,294,0,6
swarm,350,350,305,120.862,49534.9,1253.7,60662.7,120259.4,60606.5,34640.2,305,0,45
swarm,400,400,313,121.308,48698.6,1197.3,60425.9,120790.3,60530.5,34559.9,313,0,87
swarm,450,450,314,127.817,52709.5,591.8,63542.8,127032.1,62715.5,36896.4,314,0,136
swarm,500,500,340,135.440,54462.1,706.3,67421.5,134735.0,66995.5,38865.0,340,0,160
swarm,600,600,364,147.997,54329.1,1700.9,72628.9,147308.8,72520.5,41170.9,364,0,236
swarm,700,700,435,170.091,60440.3,849.7,85450.2,169542.5,85687.5,49086.5,435,0,265
swarm,800,800,600,303.778,83216.9,650.2,117046.0,235831.1,0.0,68245.2,600,0,200
swarm,900,900,536,229.386,79302.9,702.4,104941.8,212866.2,0.0,61163.1,536,0,364
swarm,1000,1000,456,229.363,64749.0,938.3,91705.2,181221.9,91495.5,52170.5,456,0,544
