connections,requests,replies,test_duration_s,reply_time_ms,conn_time_min_ms,conn_time_avg_ms,conn_time_max_ms,conn_time_median_ms,conn_time_stddev_ms,reply_status_200_count,reply_status_500_count,errors_total
10,10,10,2.060,756.5,474.6,999.2,1431.2,1123.5,329.4,10,0,0
20,20,20,3.993,1651.8,208.3,1897.6,3091.0,1938.5,903.7,20,0,0
50,50,50,9.356,4384.8,552.6,4615.5,8388.6,4781.5,2407.9,50,0,0
100,100,100,19.283,9327.2,516.5,9580.1,18292.0,9422.5,5268.8,100,0,0
120,120,120,23.133,11237.7,207.6,11508.7,22147.5,11287.5,6384.8,120,0,0
150,150,150,27.888,13522.2,613.9,13960.5,26897.9,13891.5,7763.5,150,0,0
180,180,180,33.716,15336.9,735.7,16862.0,32863.6,16835.5,9421.7,180,0,0
200,200,200,38.047,16936.1,621.5,18875.7,37211.7,18693.5,10687.0,200,0,0
300,300,285,53.345,22776.3,539.4,26745.4,52688.0,26564.5,15125.5,285,0,15
400,400,356,66.101,26660.7,484.7,32925.8,65550.5,32468.5,18879.3,356,0,44
500,500,431,79.299,28317.6,541.1,39809.0,78644.8,40423.5,22672.8,431,0,69
600,600,483,119.456,32370.6,813.9,44092.2,87546.6,43285.5,25298.9,483,0,117
800,800,574,131.069,32563.0,971.3,52691.9,104157.4,52613.5,30030.0,574,0,226
1000,1000,648,143.357,46880.8,906.3,60176.3,136628.6,59352.5,35906.5,648,0,352
