connections,requests,replies,test_duration_s,reply_time_ms,conn_time_min_ms,conn_time_avg_ms,conn_time_max_ms,conn_time_median_ms,conn_time_stddev_ms,reply_status_200_count,reply_status_500_count,errors_total
10,10,10,7.236,5236.2,4237.1,5315.2,6534.8,4639.5,1003.8,10,0,0
20,20,20,10.474,5441.5,781.0,5620.9,9609.2,5222.5,2719.1,20,0,0
50,50,50,24.697,12472.3,653.2,12602.0,23756.6,11791.5,6863.0,50,0,0
100,100,100,48.532,24399.7,967.5,24549.7,47561.4,24170.5,13584.5,100,0,0
120,120,120,57.353,28573.6,907.0,28699.0,56360.5,29790.5,16175.4,120,0,0
150,150,150,72.632,35738.9,641.4,36299.8,71685.1,36883.5,20566.9,150,0,0
180,180,180,89.647,42821.6,1370.7,44612.8,88746.8,42729.5,25417.8,180,0,0
200,200,200,94.765,44666.2,1447.1,47238.4,94059.6,46545.5,26638.1,200,0,0
300,300,289,135.567,54160.1,870.0,69519.3,134604.9,69113.5,39447.4,289,0,11
400,400,334,159.798,58886.1,1079.8,82000.2,158837.4,81159.5,46545.9,334,0,66
500,500,316,154.379,58578.5,1028.2,77354.6,153978.6,75762.5,44811.0,316,0,184
600,600,329,150.764,59291.3,1097.9,77018.7,149780.3,77170.5,43053.2,329,0,271
800,800,318,146.110,60039.2,1490.1,74814.2,145432.0,75652.5,42355.3,318,0,482
1000,744,389,237.676,81820.8,2541.7,93705.5,183194.8,95183.5,52675.5,389,0,611
